doc_idx,cond,sign,span,loss,n_tok
32,truth,-1,ordinary,2.4011850357055664,72
32,random1,1,polarity_words,3.5458590507507326,10
32,random1,1,ordinary,2.2801449298858643,72
32,random1,-1,polarity_words,2.9032836630940437,10
32,random1,-1,ordinary,2.4976961612701416,72
32,random2,1,polarity_words,4.0144200921058655,10
32,random2,1,ordinary,2.504950761795044,72
32,random2,-1,polarity_words,2.8748130656778814,10
32,random2,-1,ordinary,2.3219645023345947,72
32,random3,1,polarity_words,3.318390649557114,10
32,random3,1,ordinary,2.3863704204559326,72
32,random3,-1,polarity_words,2.9364661991596224,10
32,random3,-1,ordinary,2.4688289165496826,72
33,none,0,polarity_words,1.97179791405797,5
33,none,0,ordinary,2.574592113494873,62
33,truth,1,polarity_words,3.4071663200855253,5
33,truth,1,ordinary,2.6864242553710938,62
33,truth,-1,polarity_words,2.556605055183172,5
33,truth,-1,ordinary,2.771388292312622,62
33,random1,1,polarity_words,3.1345096200704576,5
33,random1,1,ordinary,2.612448215484619,62
33,random1,-1,polarity_words,1.9583312034606934,5
33,random1,-1,ordinary,2.905311346054077,62
33,random2,1,polarity_words,3.883852553367615,5
33,random2,1,ordinary,2.8253672122955322,62
33,random2,-1,polarity_words,1.8407784149050712,5
33,random2,-1,ordinary,2.663930892944336,62
33,random3,1,polarity_words,3.4756006717681887,5
